,X,Y,Elevation,Distance,tau,geometry
193,668149.65661,3596994.15221,3584.0,11845.432893255056,3863911.0466365614,POINT (668149.6566099999 3596994.15221)
194,664459.65661,3596964.15221,3166.0125,7264.11254969542,2095579.516031404,POINT (664459.6566099999 3596964.15221)
195,666469.65661,3596964.15221,3388.0,9742.051942088816,2963908.7690677014,POINT (666469.6566099999 3596964.15221)
196,666499.65661,3596964.15221,3392.0,9772.051942088816,2975238.155668654,POINT (666499.6566099999 3596964.15221)
197,666529.65661,3596964.15221,3395.0,9802.051942088816,2986568.7048211307,POINT (666529.6566099999 3596964.15221)
198,666559.65661,3596964.15221,3399.0,9832.051942088816,2997934.043260279,POINT (666559.6566099999 3596964.15221)
199,666799.65661,3596964.15221,3425.0,10096.904755831201,3098398.240535276,POINT (666799.6566099999 3596964.15221)
200,666829.65661,3596964.15221,3425.0051,10126.904755831201,3109788.0793932965,POINT (666829.6566099999 3596964.15221)
201,666949.65661,3596964.15221,3441.0,10271.757569573587,3164861.5799356825,POINT (666949.6566099999 3596964.15221)
202,666979.65661,3596964.15221,3441.0051,10301.757569573587,3176287.639365066,POINT (666979.6566099999 3596964.15221)
203,667009.65661,3596964.15221,3441.0103,10331.757569573587,3187715.798598539,POINT (667009.6566099999 3596964.15221)
204,668119.65661,3596964.15221,3578.0,11803.006486383863,3837364.3901617234,POINT (668119.6566099999 3596964.15221)
205,664459.65661,3596934.15221,3166.0073,7234.11254969542,2086060.4432494189,POINT (664459.6566099999 3596934.15221)
206,666589.65661,3596934.15221,3404.0,9874.478348960009,3014007.3708795393,POINT (666589.6566099999 3596934.15221)
207,666619.65661,3596934.15221,3407.0,9904.478348960009,3025378.5951904776,POINT (666619.6566099999 3596934.15221)
208,666649.65661,3596934.15221,3413.0,9934.478348960009,3036758.5956571167,POINT (666649.6566099999 3596934.15221)
209,666679.65661,3596934.15221,3417.0,9964.478348960009,3048139.851908977,POINT (666679.6566099999 3596934.15221)
210,666709.65661,3596934.15221,3417.0051,9994.478348960009,3059521.329823263,POINT (666709.6566099999 3596934.15221)
211,666739.65661,3596934.15221,3417.0103,10024.478348960009,3070905.690804523,POINT (666739.6566099999 3596934.15221)
212,666769.65661,3596934.15221,3417.0154,10054.478348960009,3082291.3093538727,POINT (666769.6566099999 3596934.15221)
213,667039.65661,3596934.15221,3443.0,10374.18397644478,3203878.6113138087,POINT (667039.6566099999 3596934.15221)
214,667069.65661,3596934.15221,3444.0,10404.18397644478,3215312.2517626877,POINT (667069.6566099999 3596934.15221)
215,667099.65661,3596934.15221,3450.0,10434.18397644478,3226754.2453501257,POINT (667099.6566099999 3596934.15221)
216,668119.65661,3596934.15221,3573.0,11773.006486383863,3818601.072770884,POINT (668119.6566099999 3596934.15221)
